"","directorio","secuencia_p","orden","p3271","p6040","p6050","p6090","p6100","p3042","p3042s1","p3043","clase","mes","p6240","pet","p6426","p6500","p6510","p6510s1","p6510s2","p6590","p6590s1","p6600","p6600s1","p6610","p6610s1","p6620","p6620s1","p6585s1","p6585s1a1","p6585s1a2","p6585s2","p6585s2a1","p6585s2a2","p6585s3","p6585s3a1","p6585s3a2","p6585s4","p6585s4a1","p6585s4a2","p6545","p6545s1","p6545s2","p6580","p6580s1","p6580s2","p6630s1","p6630s1a1","p6630s2","p6630s2a1","p6630s3","p6630s3a1","p6630s4","p6630s4a1","p6630s6","p6630s6a1","p6750","p3073","p550","p6800","p6920","p7040","p7045","p7050","p7070","p7090","p7110","p7120","p7140s1","p7140s2","p7150","p7160","p6430","oc","p7350","p7422","p7422s1","des","fft","p7500s1","p7500s1a1","p7500s3","p7500s3a1","p7510s1","p7510s1a1","p7510s2","p7510s2a1","p7510s5","p7510s5a1","p7510s6","p7510s6a1","p7510s7","p7510s7a1","p7495","p7500s2","p7500s2a1","p7505","p7510s3","p7510s3a1","cclasnr2","cclasnr3","cclasnr4","cclasnr5","cclasnr6","cclasnr7","cclasnr8","cclasnr11","impa","isa","ie","imdi","iof1","iof2","iof3h","iof3i","iof6","impaes","isaes","iees","imdies","iof1es","iof3hes","iof6es","iof2es","iof3ies","ingtotob","ingtotes","ingtot","fex_c","dominio","ciudad_sinam","dpto","fex_dpto"
"21",8087719,1,1,2,42,1,1,1,5,2,2,1,1,1,1,12,1500000,2,0,NA,2,0,2,0,2,0,2,0,2,0,NA,1,162000,2,1,39000,2,2,0,NA,2,0,NA,2,0,NA,1,1300000,2,0,2,0,2,0,2,0,NA,1,NA,60,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,1,1,1260000,0,0,0,0,0,0,0,0,1809333.3333,0,0,NA,0,NA,0,105000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914333.3333,NA,1914333.3333,64.95913449,"BARRANQUILLA","BARRANQUILLA","Atlántico",64.9591344899101
"22",8087719,1,2,2,14,3,1,1,5,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.95913449,"BARRANQUILLA","BARRANQUILLA","Atlántico",64.9591344899101
"23",8087720,1,4,1,20,3,1,1,10,2,2,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,106.17390071,"BARRANQUILLA","BARRANQUILLA","Atlántico",106.173900713775
"24",8087720,1,3,1,28,3,2,NA,10,10,7,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,106.17390071,"BARRANQUILLA","BARRANQUILLA","Atlántico",106.173900713775
"25",8087720,1,1,1,50,1,1,1,10,10,7,1,1,6,1,192,6000000,2,0,NA,2,0,2,0,2,0,2,0,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,2,0,2,0,2,0,2,0,NA,1,NA,44,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,2,0,2,0,2,0,1,6000000,2,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,6e+06,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e+06,NA,6e+06,106.17390071,"BARRANQUILLA","BARRANQUILLA","Atlántico",106.173900713775
"26",8087720,1,2,2,51,2,1,1,5,2,2,1,1,6,1,192,2800000,2,0,NA,2,0,2,0,2,0,2,0,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,2800000,2,0,2,0,2,0,2,0,NA,1,NA,40,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,2,0,2,0,2,0,1,2800000,2,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3033333.3333,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3033333.3333,NA,3033333.3333,106.17390071,"BARRANQUILLA","BARRANQUILLA","Atlántico",106.173900713775
"27",8087722,1,1,1,82,1,1,1,10,10,7,1,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,NA,1,2,0,2,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,16635280,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,16635280,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16635280,NA,16635280,69.980600326,"BARRANQUILLA","BARRANQUILLA","Atlántico",69.9806003262881
"28",8087723,1,1,1,75,1,1,1,10,10,7,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,NA,1,NA,0,NA,0,1,12000000,2,0,2,0,2,0,2,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,1e+06,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,NA,1e+06,76.331000762,"BARRANQUILLA","BARRANQUILLA","Atlántico",76.3310007617361
"29",8087723,1,2,2,66,2,1,1,5,2,2,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,76.331000762,"BARRANQUILLA","BARRANQUILLA","Atlántico",76.3310007617361
"30",8087724,1,1,1,44,1,1,1,5,2,2,1,1,1,1,168,1330000,2,0,NA,2,0,2,0,2,0,2,0,2,0,NA,1,162000,2,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,1200000,2,0,2,0,2,0,2,0,NA,1,NA,60,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1592000,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1592000,NA,1592000,69.575235578,"BARRANQUILLA","BARRANQUILLA","Atlántico",69.5752355782532
